City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hammerfest,NO,2020-04-04 22:22:28,70.66,23.68,24.8,85,90,23.04
1,Rikitea,PF,2020-04-04 22:22:28,-23.12,-134.97,76.37,79,91,14.74
2,Tecpan,GT,2020-04-04 22:22:28,14.76,-90.99,71.6,78,75,9.17
3,Bredasdorp,ZA,2020-04-04 22:22:28,-34.53,20.04,63.0,87,16,4.7
4,Eyemouth,GB,2020-04-04 22:22:28,55.87,-2.09,50.0,87,100,10.29
5,Satao,PT,2020-04-04 22:22:28,40.74,-7.73,63.0,59,98,8.01
6,Tuktoyaktuk,CA,2020-04-04 22:22:28,69.45,-133.04,8.6,71,40,9.17
7,Fortuna,US,2020-04-04 22:22:28,40.6,-124.16,54.0,81,75,6.93
8,Banff,CA,2020-04-04 22:22:29,51.18,-115.57,23.0,69,100,8.99
9,Avarua,CK,2020-04-04 22:22:29,-21.21,-159.78,80.6,88,100,7.76
10,Ketchikan,US,2020-04-04 22:22:29,55.34,-131.65,42.8,48,1,17.22
11,Cabo San Lucas,MX,2020-04-04 22:22:29,22.89,-109.91,86.0,32,75,12.75
12,Arraial Do Cabo,BR,2020-04-04 22:22:29,-22.97,-42.03,75.2,83,20,14.99
13,Saint-Philippe,RE,2020-04-04 22:22:29,-21.36,55.77,77.0,78,4,6.93
14,Devonport,AU,2020-04-04 22:22:29,-41.17,146.35,42.01,99,100,8.01
15,Albany,US,2020-04-04 22:22:29,42.6,-73.97,62.6,45,90,5.82
16,Ushuaia,AR,2020-04-04 22:22:29,-54.8,-68.3,41.0,75,40,17.22
17,Petatlan,MX,2020-04-04 22:22:29,17.52,-101.27,86.0,62,5,11.41
18,Omboue,GA,2020-04-04 22:22:29,-1.57,9.26,76.35,89,100,9.31
19,Airai,TL,2020-04-04 22:22:29,-8.93,125.41,61.29,63,82,1.25
20,Soma,TR,2020-04-04 22:22:29,39.19,27.61,53.6,93,75,2.24
21,Ulcinj,ME,2020-04-04 22:22:30,41.93,19.22,62.6,33,40,16.11
22,Hobart,AU,2020-04-04 22:20:34,-42.88,147.33,45.0,65,75,8.05
23,Kudahuvadhoo,MV,2020-04-04 22:22:30,2.67,72.89,83.7,71,72,9.46
24,Dudinka,RU,2020-04-04 22:22:30,69.41,86.18,32.0,96,75,31.32
25,Port Alfred,ZA,2020-04-04 22:22:30,-33.59,26.89,71.01,73,0,5.99
26,Butaritari,KI,2020-04-04 22:22:30,3.07,172.79,82.98,80,71,11.48
27,Nouakchott,MR,2020-04-04 22:19:43,18.09,-15.98,69.8,83,0,19.46
28,Danielskuil,ZA,2020-04-04 22:19:30,-28.19,23.54,60.08,33,3,2.68
29,Sarangani,PH,2020-04-04 22:22:30,5.4,125.46,82.15,72,0,10.92
30,Champaign,US,2020-04-04 22:22:30,40.13,-88.2,46.4,81,90,12.75
31,Richmond Hill,CA,2020-04-04 22:21:21,43.87,-79.44,53.01,66,75,8.05
32,Qaanaaq,GL,2020-04-04 22:22:31,77.48,-69.36,11.08,78,100,6.82
33,Taihe,CN,2020-04-04 22:22:31,30.87,105.38,50.95,78,98,3.51
34,Longyearbyen,SJ,2020-04-04 22:22:31,78.22,15.64,1.4,77,20,9.17
